"M = 800 GeV, LQToCMu_Single_L-1p0_M-800_GeV_8TeV",4.18
"M = 900 GeV, LQToCMu_Single_L-1p0_M-900_GeV_8TeV",2.37
"M = 1000 GeV, LQToCMu_Single_L-1p0_M-1000_GeV_8TeV",1.45
"M = 1100 GeV, LQToCMu_Single_L-1p0_M-1100_GeV_8TeV",0.94
"M = 1200 GeV, LQToCMu_Single_L-1p0_M-1200_GeV_8TeV",0.64
"M = 1300 GeV, LQToCMu_Single_L-1p0_M-1300_GeV_8TeV",0.45
"M = 1400 GeV, LQToCMu_Single_L-1p0_M-1400_GeV_8TeV",0.33
"M = 1500 GeV, LQToCMu_Single_L-1p0_M-1500_GeV_8TeV",0.24
"M = 1600 GeV, LQToCMu_Single_L-1p0_M-1600_GeV_8TeV",0.19
"M = 1700 GeV, LQToCMu_Single_L-1p0_M-1700_GeV_8TeV",0.15
"M = 1800 GeV, LQToCMu_Single_L-1p0_M-1800_GeV_8TeV",0.11
